batch,question_number,question_id,verified_key,key_letter_changed,record_changed,correction,independent_solution,option_review,rendered_attempt,rendered_review,interaction_result,source_evidence,source_limit,local_status,release_status
1,1,mbb:set-2:original-001,C,False,True,Removed unsupported predeclared browser-validation metadata; scoped responsive table treatment.,C: Catchball resolves vertical and horizontal resource and means conflicts before commitments. Numeric targets and isolated charters do not resolve shared constraints.,Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak Ch1 pp9–10: catchball; current ASQ I.A,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,2,mbb:set-2:original-002,A,False,True,Made approved-objective and nonmandatory-project assumptions visible.,"A: Map each approved objective to project CTQs and measurable contributions before ranking. Seniority, vague alignment, and an unstated margin-only priority are not the stated decision policy.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp23–27: strategic line of sight,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,3,mbb:set-2:original-003,D,False,False,No record/content change required; shared review/interaction fixes apply.,"D: Address deployment maturity, sponsor capacity, common benefit definitions and independent Finance validation before training another cohort. More training or self-certification cannot cure governance defects.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp29–31: governance and resources,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed; shared UI corrected,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,4,mbb:set-2:original-004,B,False,False,No record/content change required; shared review/interaction fixes apply.,"B: Match DMADV to the new service, DMAIC to chronic defects and constraint-focused flow improvement to the limiting laboratory, under common governance.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp53–55: methodology selection,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed; shared UI corrected,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,5,mbb:set-2:original-005,A,False,True,"Defined additive NPV policy, readiness timing and one-month prerequisite task; separated exploratory slider from fixed answer; corrected rationale; Evaluate metadata.",A: Mandatory P1 plus P2 uses 3+4=7 BB-months and yields $0.4M+$1.5M=$1.9M. P1+P3+P5 uses all eight months but yields $1.8M. One separate scoping month fits; unavailable P4/P6 benefits cannot be credited.,Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp98–99: project selection/pipeline; own complete enumeration,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,6,mbb:set-2:original-006,D,False,True,Removed causal overclaim from timing; required testing the end-to-end mechanism.,D: Test the suspected feedback mechanism and total-system outcome. The timing and percentages do not alone establish causation; local handle-time optimization may move rather than remove work.,Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp100–101: systems interdependence,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,7,mbb:set-2:original-007,B,False,False,No record/content change required; shared review/interaction fixes apply.,"B: Executives retain ownership of resources, benefit governance and consistent deployment messages. MBB technical coaching complements rather than replaces these responsibilities.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp183–184: executive resource/priorities ownership,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed; shared UI corrected,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,8,mbb:set-2:original-008,C,False,False,No record/content change required; shared review/interaction fixes apply.,"C: Start with private diagnosis, relevant evidence, bounded co-designed pilot and safe operator input. Forced compliance or bypassing the respected manager does not build valid commitment.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp172–173: situational/intervention styles,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed; shared UI corrected,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,9,mbb:set-2:original-009,A,False,True,Replaced near-equivalent distractor D with a distinct contradictory-incentive action.,"A: Align incentives and appraisal with first-contact resolution and total customer effort. Additional training, hidden metrics or a new manager target leave the conflicting employee bonus intact.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp108–109: integrated rewards and aligned behavior,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,10,mbb:set-2:original-010,D,False,False,No record/content change required; shared review/interaction fixes apply.,D: Margin rose two percentage points while customer/process measures deteriorated. Investigate causal links and balanced leading/lagging measures; do not average unrelated percentages or infer sustainability from margin alone.,Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp137–138: balanced scorecard perspectives,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed; shared UI corrected,Blocked: live authenticated/device acceptance and final source-range closure outstanding
