heat_id,pipe_id,specimen,grade,melting_practice,rolling_practice,slab_thickness_in,od_in,gauge_in,ca_ppm,s_ppm,exit_temp_c,coiling_temp_c,test_temp_c,orientation,specimen_size,location,charpy_j
"H-001","H-001-P01","1","X65","MP-02","RP-03","8","12.75","0.3","19","12","796","563","-5","Transverse","Full-size","Base metal","184"
"H-001","H-001-P01","2","X65","MP-02","RP-03","8","12.75","0.3","19","12","796","563","-5","Transverse","Full-size","Base metal","187"
"H-001","H-001-P01","3","X65","MP-02","RP-03","8","12.75","0.3","19","12","796","563","-5","Transverse","Full-size","Base metal","189"
"H-001","H-001-P02","1","X65","MP-02","RP-01","8","8.625","0.331","19","12","803","574","-5","Transverse","Full-size","Base metal","191"
"H-001","H-001-P02","2","X65","MP-02","RP-01","8","8.625","0.331","19","12","803","574","-5","Transverse","Full-size","Base metal","193"
"H-001","H-001-P02","3","X65","MP-02","RP-01","8","8.625","0.331","19","12","803","574","-5","Transverse","Full-size","Base metal","196"
"H-001","H-001-P03","1","X65","MP-02","RP-02","8","10.75","0.323","19","12","810","585","-5","Transverse","Full-size","Base metal","197"
"H-001","H-001-P03","2","X65","MP-02","RP-02","8","10.75","0.323","19","12","810","585","-5","Transverse","Full-size","Base metal","199"
"H-001","H-001-P03","3","X65","MP-02","RP-02","8","10.75","0.323","19","12","810","585","-5","Transverse","Full-size","Base metal","188"
"H-001","H-001-P04","1","X65","MP-02","RP-03","8","12.75","0.3","19","12","817","596","-5","Transverse","Full-size","Base metal","178"
"H-001","H-001-P04","2","X65","MP-02","RP-03","8","12.75","0.3","19","12","817","596","-5","Transverse","Full-size","Base metal","180"
"H-001","H-001-P04","3","X65","MP-02","RP-03","8","12.75","0.3","19","12","817","596","-5","Transverse","Full-size","Base metal","183"
"H-001","H-001-P05","1","X65","MP-02","RP-01","8","8.625","0.331","19","12","824","551","-5","Transverse","Full-size","Base metal","184"
"H-001","H-001-P05","2","X65","MP-02","RP-01","8","8.625","0.331","19","12","824","551","-5","Transverse","Full-size","Base metal","187"
"H-001","H-001-P05","3","X65","MP-02","RP-01","8","8.625","0.331","19","12","824","551","-5","Transverse","Full-size","Base metal","189"
"H-001","H-001-P06","1","X65","MP-02","RP-02","8","10.75","0.323","19","12","831","562","-5","Transverse","Full-size","Base metal","191"
"H-001","H-001-P06","2","X65","MP-02","RP-02","8","10.75","0.323","19","12","831","562","-5","Transverse","Full-size","Base metal","193"
"H-001","H-001-P06","3","X65","MP-02","RP-02","8","10.75","0.323","19","12","831","562","-5","Transverse","Full-size","Base metal","196"
"H-001","H-001-P07","1","X65","MP-02","RP-03","8","12.75","0.3","19","12","838","573","-5","Transverse","Full-size","Base metal","185"
"H-001","H-001-P07","2","X65","MP-02","RP-03","8","12.75","0.3","19","12","838","573","-5","Transverse","Full-size","Base metal","174"
"H-001","H-001-P07","3","X65","MP-02","RP-03","8","12.75","0.3","19","12","838","573","-5","Transverse","Full-size","Base metal","177"
"H-002","H-002-P01","1","X65","MP-03","RP-01","8","8.625","0.323","26","17","805","570","-5","Transverse","Full-size","Base metal","163"
"H-002","H-002-P01","2","X65","MP-03","RP-01","8","8.625","0.323","26","17","805","570","-5","Transverse","Full-size","Base metal","165"
"H-002","H-002-P01","3","X65","MP-03","RP-01","8","8.625","0.323","26","17","805","570","-5","Transverse","Full-size","Base metal","154"
"H-002","H-002-P02","1","X65","MP-03","RP-02","8","10.75","0.3","26","17","812","581","-5","Transverse","Full-size","Base metal","156"
"H-002","H-002-P02","2","X65","MP-03","RP-02","8","10.75","0.3","26","17","812","581","-5","Transverse","Full-size","Base metal","158"
"H-002","H-002-P02","3","X65","MP-03","RP-02","8","10.75","0.3","26","17","812","581","-5","Transverse","Full-size","Base metal","161"
"H-002","H-002-P03","1","X65","MP-03","RP-03","8","12.75","0.331","26","17","819","592","-5","Transverse","Full-size","Base metal","162"
"H-002","H-002-P03","2","X65","MP-03","RP-03","8","12.75","0.331","26","17","819","592","-5","Transverse","Full-size","Base metal","164"
"H-002","H-002-P03","3","X65","MP-03","RP-03","8","12.75","0.331","26","17","819","592","-5","Transverse","Full-size","Base metal","167"
"H-002","H-002-P04","1","X65","MP-03","RP-01","8","8.625","0.323","26","17","826","547","-5","Transverse","Full-size","Base metal","157"
"H-002","H-002-P04","2","X65","MP-03","RP-01","8","8.625","0.323","26","17","826","547","-5","Transverse","Full-size","Base metal","159"
"H-002","H-002-P04","3","X65","MP-03","RP-01","8","8.625","0.323","26","17","826","547","-5","Transverse","Full-size","Base metal","148"
"H-002","H-002-P05","1","X65","MP-03","RP-02","8","10.75","0.3","26","17","833","558","-5","Transverse","Full-size","Base metal","163"
